,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Camden Kozeal,3.283,3.417,8,,0.33,0.381,0.604,0.134
Run Producer,3.233,3.383,9,,,,,0.15
SEC,3.283,3.417,8,,,,,0.134
,3.233,3.367,8,,,,,0.134
,3.283,3.417,8,,,,,0.134
,3.3,3.433,8,,,,,0.133
,3.266,3.4,8,,,,,0.134
,3.35,3.5,8.5,,,,,0.15
,3.25,3.383,8,,,,,0.133
,3.266,3.417,9,,,,,0.151
,3.267,3.417,9,,,,,0.15
SKIP 12 (this is 13),3.316,3.467,9,,,,,0.151
,3.25,3.4,9,,,,,0.15
,3.266,3.4,8,,,,,0.134
,3.367,3.5,8,,,,,0.133
,3.327,3.46,,,,,,0.133
,3.267,3.417,,,,,,0.15
,3.283,3.433,8,,,,,0.15
,3.25,3.4,9,,,,,0.15
,3.283,3.45,9.5,,,,,0.167
