,Time Start,Time End,Clicks,,AVG,OBP,SLG
"Harber, P.",0.000,0.133,8.000,,0.343,0.425,0.648
,0.000,0.117,7.000,,,,
,0.000,0.117,7.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.117,7.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.100,6.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.117,7.000,,,,
,0.000,0.108,6.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.117,7.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.117,7.000,,,,
