sample_size,mean_accuracy,mean_metric_accuracy,mean_ks_similarity,std_accuracy,min_accuracy,p90_accuracy,p95_accuracy
5,0.7941815712607051,0.822529809188077,0.7658333333333335,0.08868648226431414,0.41768444253446707,0.8987110797570839,0.9217059135856572
6,0.8084408909972688,0.8377151153278708,0.7791666666666668,0.07821942584983053,0.46899563318777293,0.8883725802523239,0.9050178899957207
7,0.8317528149262927,0.8603961060430615,0.8031095238095239,0.07062408160258708,0.5010922173966368,0.9166366454341425,0.9227521534951744
8,0.8430789269224017,0.8640995205114702,0.8220583333333333,0.06679169159858232,0.5790287700530912,0.9281370647728655,0.9342586220997959
9,0.8580357978571291,0.8785604846031473,0.8375111111111113,0.06659580765062863,0.5955274213310224,0.9385295783048131,0.949483691363435
10,0.8670690663894989,0.8853714661123311,0.8487666666666669,0.05602637911617607,0.6471448336881571,0.9350314016721948,0.942122433959375
11,0.8751368526496437,0.8966676446932268,0.8536060606060606,0.053692707235930934,0.6172318441299076,0.9374474967575279,0.9466880851838735
12,0.8847516491553572,0.9003199649773808,0.8691833333333333,0.050307386102149645,0.6455752539837101,0.9407596294002571,0.9548320606341381
13,0.8929784539727716,0.9089184464070814,0.8770384615384617,0.05219083715612676,0.6625115816765046,0.9497411762859108,0.9558628659484472
14,0.8973839558271668,0.9138536259400478,0.8809142857142859,0.0451381015408068,0.6713993814272894,0.9514731710336506,0.9603381575355459
15,0.9095684921902039,0.9228036510470746,0.8963333333333335,0.04165624279027853,0.7213677778609149,0.9533096927793573,0.9623691421879342
16,0.9105967344789554,0.920164302291244,0.9010291666666667,0.04149331016751932,0.7442692076020181,0.9591800253283667,0.9676025800737513
17,0.9194681941772797,0.9297559961976966,0.909180392156863,0.043100413140995476,0.7561760742892573,0.9682104474673539,0.9705161048106816
18,0.9184631566262851,0.9271374243636813,0.909788888888889,0.04111295282821676,0.7683237339562736,0.9620206471604952,0.9686619779318635
19,0.9266800169478168,0.9357407356500197,0.9176192982456141,0.03559024271507417,0.7665421605473048,0.9659319154066266,0.9718023327393885
20,0.9311618458270075,0.9388403583206817,0.9234833333333333,0.035089675700244634,0.7929453993947171,0.9714453654480832,0.9759951502696564
21,0.938518918964952,0.9463425998346661,0.9306952380952382,0.037763477738901347,0.8154104383698264,0.9772676521895884,0.9798596896962967
22,0.9404012793931442,0.945178316362046,0.9356242424242425,0.03436518707128497,0.8167162623387485,0.9736613277982487,0.9783207199453792
23,0.9462371846256438,0.9508932098309977,0.9415811594202899,0.030790003942896257,0.8309174511816048,0.9779380559890867,0.9826707164042681
24,0.948693754515283,0.952787509030566,0.9446,0.032859585375030746,0.8356784177442049,0.9763551396810954,0.9822733206920891
25,0.9578550211213838,0.9649500422427673,0.9507599999999999,0.031261714929538074,0.8389926199320565,0.9836257361640903,0.9850449277461578
26,0.9623091844260474,0.9669670868008128,0.9576512820512821,0.024607921782812164,0.8575429413085797,0.9814967123507936,0.9910028494969201
27,0.968666680006135,0.9742333600122701,0.9631,0.021846971786017823,0.8679017283617364,0.9885071345527285,0.9885071345527285
28,0.9766934054519093,0.9835249061419138,0.9698619047619047,0.018097101955889323,0.8952400232589979,0.9910270180989837,0.9910270180989837
29,0.9866953051711799,0.9954377367791413,0.9779528735632185,0.004583806926057039,0.9702097922759452,0.9898320182113056,0.9898320182113056
